,user_id,age,gender,account_created,country,num_friends,num_followers,posts_count,likes_received,comments_received,shares_count,profile_completeness,last_login,is_verified,language,device_type,account_type,engagement_rate,monthly_active,status
0,1,64.0,F,2023-06-06 18:51:33.092925,Canada,1321.0,7825.0,359,43116,48,4090,50,2025-03-03 18:51:33.149208,True,Chinese,Tablet,Business,37.63,True,Active
1,2,27.0,Other,2023-09-28 18:51:33.092970,Canada,2023.0,142.0,336,44869,1494,2741,78,2025-08-11 18:51:33.149229,False,Chinese,Tablet,Creator,74.51,True,Active
2,3,73.0,,2018-11-10 18:51:33.092983,Canada  ,4731.0,9315.0,440,34858,9365,3251,66,2024-10-28 18:51:33.149237,False,English,Desktop,Business,48.11,True,Active
3,4,33.0,F,2019-10-24 18:51:33.092992,###,4512.0,,314,43832,6467,21,25,2025-05-17 18:51:33.149243,True,Chinese,Mobile,Personal,45.8,True,Active
4,5,36.0,M,2025-06-19 18:51:33.093001,###,438.0,,93,26981,9542,514,51,2025-09-23 18:51:33.149249,False,German,Tablet,Creator,35.85,True,Suspended
5,6,15.0,M,2024-06-18 18:51:33.093013,Brazil,164.0,383.0,216,45530,918,2798,50,2025-09-28 18:51:33.149255,False,English,Mobile,Business,4.91,False,Active
6,7,34.0,,2023-02-04 18:51:33.093022,France,3337.0,1578.0,21,33866,350,3069,37,2024-10-27 18:51:33.149261,False,German,Desktop,Business,83.36,True,Active
7,8,65.0,Unknown,2022-12-22 18:51:33.093031,USA,3350.0,2945.0,420,34718,1926,2880,28,2025-05-30 18:51:33.149267,False,German,Mobile,Creator,34.27,True,Active
8,9,14.0,M,2019-04-08 18:51:33.093037,India,987.0,623.0,458,36146,1917,4778,22,2025-01-08 18:51:33.149272,True,French,Tablet,Creator,43.66,False,Active
9,10,150.0,Other,2021-05-25 18:51:33.093044,Germany,625425.0,544.0,125,43512,5266,993,90,2025-06-25 18:51:33.149278,False,German,Tablet,Personal,11.81,False,Active
10,11,,Other,2023-03-15 18:51:33.093051,Australia,4612.0,7586.0,267,19266,9501,1372,45,2025-06-19 18:51:33.149284,False,Spanish,Tablet,Personal,61.37,True,Active
11,12,14.0,M,2023-03-02 18:51:33.093060,"France
",4177.0,913.0,404,38991,6010,1588,32,2024-11-15 18:51:33.149289,False,German,Tablet,creator,59.45,True,Active
12,13,76.0,F,2021-03-26 18:51:33.093068,Canada,4214.0,2543.0,142,4768,3959,46763,53,2025-01-13 18:51:33.149295,False,Chinese,Mobile,Personal,30.43,True,Inactive
13,14,,Other,2023-09-05 18:51:33.093076,India,3845.0,1747.0,267,2010,5269,223,62,2024-10-16 18:51:33.149300,False,French,Tablet,Business,35.82,True,Active
14,15,33.0,M,2019-02-07 18:51:33.093083,Germany,1326.0,2163.0,-100,493,5692,4632,-50,2025-10-01 18:51:33.149306,False,English,Desktop,Personal,74.92,True,Active
15,16,45.0,Other,2023-07-01 18:51:33.093090,UK,3286.0,9235.0,102,24497,7240,4398,88,2025-06-10 18:51:33.149311,False,German,Desktop,Creator,53.43,False,Active
16,17,70.0, F,2019-10-13 18:51:33.093097,,27.0,9507.0,55,5378,5177,2681,55,2025-07-10 18:51:33.149317,True,French,Mobile,Business,25.01,True,Active
17,18,34.0, F,2019-04-11 18:51:33.093105,Brazil,2024.0,1377.0,226,47729,7903,1379,98,2024-11-28 18:51:33.149322,True,German,Tablet,personal,56.37,True,Active
18,19,61.0,Other,2020-11-25 18:51:33.093112,France,4593.0,,105,4943,4766,4673,93,2024-11-19 18:51:33.149328,False,German,Mobile,Business,87.5,True,Inactive
19,20,71.0,Other,2024-01-23 18:51:33.093120,,193.0,8414.0,143,10350,7455,2062,87,2025-02-01 18:51:33.149333,False,Chinese,Tablet,Personal,99.67,True,Active
20,21,54.0,Other,2024-09-30 18:51:33.093127,India,591.0,4531.0,32,46901,4104,2565,66,2025-08-26 18:51:33.149338,False,Spanish,Desktop,Personal,9.06,False,Active
21,22,72.0,F,2025-07-14 18:51:33.093139,USA,,2153.0,116,32767,1501,2300,80,2025-03-17 18:51:33.149344,False,,Mobile,Creator,44.77,False,Active
22,23,,F,2017-12-17 18:51:33.093147,USA,1857.0,2699.0,170,21020,5668,1108,64,2025-02-11 18:51:33.149349,False,French,Desktop,business,44.69,True,Active
23,24,999.0,Other,2022-12-26 18:51:33.093154,Brazil,112.0,3320.0,304,43254,2823,3625,67,2025-09-16 18:51:33.149354,False,German,Mobile,Personal,298.9031537090733,True,Active
24,25,74.0,M,2022-11-11 18:51:33.093160,India,,,333,21225,67,2777,60,2024-10-16 18:51:33.149360,True,French,Desktop,Business,92.03,False,Active
25,26,59.0,Other,2020-05-20 18:51:33.093166,Australia,1737.0,2042.0,17,25994,9523,2210,57,2025-06-18 18:51:33.149365,False,English,Desktop,Creator,44.93,True,Suspended
26,27,74.0,,2022-11-18 18:51:33.093171,Australia,2061.0,8821.0,235,28402,6676,1105,87,,False,English,Tablet,Creator,26.82,True,Active
27,28,63.0,F,2021-08-16 18:51:33.093177,USA,1690.0,2735.0,399,13791,7944,4869,94,,False,German,Desktop,Business,64.49,True,Active
28,29,67.0, F,2018-08-29 18:51:33.093182,Australia,,5473.0,-5000,13335,763,4685,-50,,False,French,Desktop,Creator,12.05,True,Active
29,30,76.0,F,2025-06-10 18:51:33.093188,USA,1394.0,724.0,450,28498,5572,2449,35,2025-06-09 18:51:33.149387,False,German,Mobile,Business,20.35,True,Active
30,31,15.0,Other,2020-01-07 18:51:33.093193,UK,3168.0,7819.0,362,5791,8669,147,84,2025-05-09 18:51:33.149392,False,,Mobile,Creator,82.2,False,Active
31,32,63.0,Other,2017-12-19 18:51:33.093199,Australia,3559.0,4048.0,445,27465,4613,3508,90,2025-06-28 18:51:33.149397,False,,Tablet,Personal,83.76,True,Inactive
32,33,19.0,M,2021-09-23 18:51:33.093204,USA,2236.0,6980.0,345,24816,5039,3692,86,2024-12-15 18:51:33.149403,False,Spanish,Mobile,Personal,90.47,True,Inactive
33,34,33.0,M ,2019-07-13 18:51:33.093210,USA,3883.0,2898.0,334,13663,1023,3226,90,2025-07-18 18:51:33.149409,False,German,Mobile,Business,74.56,True,Active
34,35,,Other,2018-07-05 18:51:33.093215,India,3251.0,1464.0,355,11094,5838,2176,20,2024-12-04 18:51:33.149414,False,English,Mobile,Personal,16.69,True,Active
35,36,30.0,F,2019-02-06 18:51:33.093220,USA,3932.0,9499.0,154,2400,5576,2166,90,2025-02-27 18:51:33.149419,False,English,Mobile,Business,29.16,True,Active
36,37,,F,2021-08-18 18:51:33.093225,Australia,3014.0,5614.0,239,23901,4738,1293,23,2025-10-03 18:51:33.149425,False,Spanish,Mobile,Creator,46.29,True,Active
